CLASS,NOUN_NOUN,NOUN_ADJ,NOUN_VERB,NOUN_ADV,ADJ_NOUN,ADJ_ADJ,ADJ_VERB,ADJ_ADV,VERB_NOUN,VERB_ADJ,VERB_VERB,VERB_ADV,ADV_NOUN,ADV_ADJ,ADV_VERB,ADV_ADV,NOUN_NOUN_,NOUN_ADJ_,NOUN_VERB_,NOUN_ADV_,ADJ_NOUN_,ADJ_ADJ_,ADJ_VERB_,ADJ_ADV_,VERB_NOUN_,VERB_ADJ_,VERB_VERB_,VERB_ADV_,ADV_NOUN_,ADV_ADJ_,ADV_VERB_,ADV_ADV_,sinonimos,antonimos,hiperonimos,hiponimos
entailment,28.6450926065445,1.63195104897022,9.03256368637085,0,6.1444119811058,0.12750843167305,0,0,4.67720711231232,0.303175806999207,2.09162878990173,0,0,0,0,0,21,7,6,0,7,1,0,0,6,1,1,0,0,0,0,0,0,0,2,2
entailment,26.671300008893,3.98422294855118,4.43769663572311,0,2.4929227232933,8.6156268119812,0,0,9.88784492015839,0,2.01104360818863,0,0,0,0,0,18,4,4,0,4,2,0,0,10,0,2,0,0,0,0,0,3,0,0,1
contradiction,14.8806191682816,1.82459163665771,3.68787431716919,0,5.383793592453,1.30097842216492,3.66557800769806,0,1.19986081123352,0.347016900777817,3.66107106208801,0,0,0,0,0,6,1,3,0,3,2,2,0,1,1,1,0,0,0,0,0,1,0,0,0
contradiction,7.11226725578308,0,4.99895401299,0,3.91314387321472,0,0,0,4.153235912323,0,7.05716934800148,0,0,0,0,0,4,0,7,0,3,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0
neutral,14.6236227154732,0,1.08349076658487,0,1.65780085325241,0,0,0,3.0777832865715,0,1.26164065301418,0,2.26501566171646,0,0.411896735429764,0,7,0,4,0,2,0,0,0,3,0,2,0,2,0,1,0,2,0,0,0
neutral,25.8572184443474,0,7.57453654706478,0,3.23250013589859,0,0.040094014257193,0,10.3520500659943,0,3.34232939407229,0,0.97819846868515,0,1.08699228614569,0,14,0,10,0,2,0,1,0,8,0,7,0,1,0,3,0,1,0,0,0
neutral,14.00530859828,0,2.85244059562683,0,2.41773080825806,0,0,0,3.2933903336525,0,2.59637665748596,0,0,0,0,0,10,0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0
entailment,16.6965242624283,2.74827146530151,3.37195634841919,0,1.19405773282051,8.37284541130066,0.908582627773285,0,18.3931267559528,1.22988426685333,4.09804934263229,0,0,0,0,0,11,2,3,0,2,2,1,0,11,1,4,0,0,0,0,0,2,0,1,0
neutral,8.48834896087647,4.91016429662705,1.96285723894835,0,0,0,0,0,1.65149599313736,0.90246444940567,1.67352019995451,0,0,0,0,0,3,2,4,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0
entailment,58.8094297647476,0,7.03702086210251,0,15.4532353878021,0,2.09110444784164,0,6.18187737464905,0,1.71908056735992,0,0,0,0,0,28,0,7,0,11,0,3,0,4,0,2,0,0,0,0,0,4,0,0,0
neutral,6.99747383594513,2.46587705612183,0.554656311869621,0,6.436203956604,6.46560060977936,2.62479347735643,0,1.71768140792847,0,1.68683755397797,0,0,0,0,0,4,2,2,0,4,2,5,0,1,0,4,0,0,0,0,0,2,0,0,0
contradiction,19.3580841124058,0,4.17811721563339,0,5.59872090816498,0,1.41974991559982,0,1.70532315969467,0,1.35437333583832,0,0,0,0,0,10,0,4,0,5,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0
entailment,2.8328320980072,0,0.049282770603895,0,0,0,0,0,0,0,9.82363319396973,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
contradiction,13.3757658004761,0,6.72929066419601,3.88539990782738,1.05664765834808,0,0,0.440534949302673,1.20936954021454,0,2.16259002685547,1.20132207870483,0,0,0,0,5,0,5,5,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0
neutral,42.679671049118,10.7186019420624,7.31057041883469,0,6.79353374242783,4.28935712575913,0,0,8.77640676498413,0,8.92604517936707,0,0,0,0,0,26,6,10,0,5,4,0,0,4,0,4,0,0,0,0,0,2,0,1,0
neutral,17.1429690122604,0,0.118338413536549,0,0,0,0,0,6.51229485869408,0,0.344084650278091,0,0,0,0,0,7,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,1
entailment,14.958719432354,0,5.6315910667181,0,4.72456133365631,0,8.33654940500855,0,1.58047312498093,0,6.45437043905258,0,0,0,0,0,8,0,5,0,6,0,8,0,2,0,4,0,0,0,0,0,2,1,0,0
contradiction,8.93951416015625,0,1.10383212193847,0,0,0,0,0,4.51594662666321,0,0.683280520141125,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,1
contradiction,10.7993942499161,1.79808604717255,0,0,4.09839540719986,5.32010424137116,0,0,2.55346894264221,1.30592727661133,2.28035485744476,0,2.13326263427734,0,1.66653573513031,0,4,1,0,0,3,2,0,0,2,1,2,0,1,0,1,0,1,0,1,0
entailment,41.9985451102257,0,9.32242204621434,0,21.0811170935631,0,0,0,8.03523200750351,0,11.7121995873749,0,0,0,0,0,21,0,13,0,15,0,0,0,5,0,10,0,0,0,0,0,2,0,2,2
entailment,13.0175355672836,0,3.40855777263641,0,3.38301384449005,0,1.22527098655701,0,1.47144937515259,0,1.61817252635956,0,0,0,0,0,6,0,3,0,2,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0
entailment,23.3563440442085,0,7.65256687998772,0,9.73305594921112,0,1.3747482355684,0,1.38539266586304,0,1.15762758255005,0,0,0,0,0,15,0,12,0,7,0,3,0,1,0,2,0,0,0,0,0,2,0,1,0
neutral,7.39392268657684,1.31174045801163,3.66183021664619,0,1.9501656293869,0.203375548124313,1.58180814981461,0,0,0,0.831005159765482,0,0,0,0,0,2,2,4,0,1,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0
contradiction,15.1037002801895,0,0.349290102720261,2.92166265845299,0,0,0,0,0.927563309669495,0,0.160581380128861,0.91037106513977,0,0,0,0,6,0,4,4,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
entailment,9.65046977996826,0,1.91318310424685,0,4.93072509765625,0,2.61627834662795,0,1.87563693523407,0,2.61954339966178,0,0,0,0,0,2,0,2,0,2,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0
neutral,22.3008874952793,13.349660217762,0.207020953297615,0,8.01660072803497,13.7213220596313,0.05403072014451,0,1.92507284879684,1.2111040353775,0.229760974645615,0,2.91115915775299,2.74772042036057,0.094999462366104,0,15,10,3,0,5,3,1,0,3,1,1,0,3,3,1,0,3,0,0,0
entailment,5.68331801891327,0,2.36504578590393,0,1.45950216054916,0,0,0,1.74949717521667,0,2.13054347038269,0,0,0,0,0,3,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
entailment,23.9197694063187,0,3.25579973310232,0,1.84950971603394,0,0,0,2.82498800754547,0,2.13898669183254,0,0,0,0,0,9,0,5,0,1,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0
entailment,16.1928643584251,0,0,0,0,0,0,0,0.440794110298157,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
neutral,5.7451366186142,0,1.2290634997189,0,0.592243015766144,0,0,0,1.66286438703537,0,0.437939126044512,0,0,0,0,0,4,0,5,0,1,0,0,0,2,0,4,0,0,0,0,0,1,0,0,1
neutral,10.1782668828964,0.664561271667481,2.39091277122498,0,0.941607117652893,4.92542695999146,1.1613701581955,0,0,0.409675687551498,3.07426714897156,0,0,0,0,0,4,3,2,0,1,1,1,0,0,2,1,0,0,0,0,0,1,0,1,0
contradiction,2.79385638237,0,0.16134362667799,6.64641061425209,1.70891869068146,0,0,0.363555490970612,0,0,0.048234075307846,1.91505339741707,0,0,0.243927516043186,8.57384651899338,1,0,3,7,1,0,0,1,0,0,1,3,0,0,2,6,1,0,0,0
contradiction,42.4254222810268,0,5.79411679506302,0,11.571448802948,0,0.849763989448547,0,0.82230007648468,0,1.32470870018005,0,0,0,0,0,19,0,4,0,6,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0
entailment,0.916115045547485,0,1.18278223276138,1.25686001777649,0,0,0,0,3.41892409324646,0,1.72433967143297,0.683814644813538,0,0,0,0,1,0,3,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0
contradiction,12.0083479583263,0,4.11300760507584,4.10024613142014,7.9579017162323,0,2.0854497551918,2.62507832050323,3.00832653045654,0,4.76913070678711,4.44650840759277,0,0,0,0,8,0,3,3,4,0,2,2,4,0,2,2,0,0,0,0,1,0,1,0
neutral,30.2036798000336,10.8468989729881,0,0,13.8409237861633,6.84611332416534,0.669431626796722,0,7.69036769866943,2.48360621929169,15.6537673473358,2.42646896839142,12.7021372318268,3.87705302238464,15.1620010733604,5.569540143013,12,8,0,0,8,6,1,0,4,3,8,2,7,5,9,3,3,0,0,2
entailment,21.4376423358917,0,0.100187400355935,0,0,0,0,0,0,0,0.045928049832583,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
neutral,13.9629516601563,0,2.06073989346623,0,0,0,0,0,1.75982046127319,0,3.56296563148499,0,0,0,0,0,5,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
neutral,39.7684047222137,17.7212089300156,0.530864242464304,0,15.1517231464386,18.0860230326653,0,0,0,0,0.099258467555046,0,0,0,0,0,22,14,7,0,7,8,0,0,0,0,1,0,0,0,0,0,4,0,0,1
entailment,21.3432232141495,6.76743391156197,6.97630380839109,0,7.12528473138809,1.24806094169617,2.08858254551888,0,4.68098628520966,0.705320000648499,4.51133595407009,0,0,0,0,0,10,6,6,0,6,2,3,0,2,1,3,0,0,0,0,0,1,0,1,0
neutral,3.1743438243866,3.74347591400146,3.69428491592407,0,0,0,0,0,0,1.90039324760437,1.43279191106558,0,0,0,0,0,1,3,7,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0
neutral,9.32348501682282,1.47205567359924,0.472450405359268,0,2.59714782238007,5.88817548751831,0.06825102865696,0,0.535690844058991,0,1.34428136050701,0,0,0,0,0,3,1,1,0,2,1,1,0,1,0,2,0,0,0,0,0,1,0,1,0
contradiction,13.115905046463,3.75793981552124,0.114256326109171,2.56388825178146,0,0,0,0,2.47221112251282,1.27527940273285,0.103237252682447,0.80117678642273,0,0,0,0,4,2,2,3,0,0,0,0,2,1,2,1,0,0,0,0,2,0,0,0
neutral,21.6471326351166,0,1.54620967432857,0,11.338798224926,0,1.86946474015713,0,1.30393540859222,0,3.57072803378105,0,0,0,0,0,10,0,4,0,10,0,4,0,1,0,4,0,0,0,0,0,0,0,0,0
entailment,9.80373966693878,0,3.4050969183445,8.49186301231384,3.70444178581238,0,2.24843659996986,5.94191360473633,4.08759152889252,0,2.05140575766563,7.19682145118713,0,0,0,0,7,0,7,3,2,0,3,1,3,0,4,2,0,0,0,0,1,0,0,0
neutral,14.8264117538929,0,6.0831880569458,1.31265842914581,0,0,0,0.107202261686325,1.15342885255814,0,0.780040979385376,0,0,0,0,0,12,0,4,4,0,0,0,1,2,0,1,0,0,0,0,0,2,0,2,1
neutral,36.653041779995,7.5128858089447,3.49030137062073,0,13.4087433218956,4.01839572191238,2.06787016987801,0,2.83782964944839,0.865061461925507,1.85621243715286,0,0,0,0,0,20,7,4,0,12,3,3,0,3,1,2,0,0,0,0,0,2,0,1,0
entailment,8.90424680709839,0,3.69237204641104,0,1.67993462085724,0,1.05578756332397,0,2.04395937919617,0,3.82591812312603,0,0,0,0,0,2,0,3,0,1,0,2,0,1,0,6,0,0,0,0,0,1,0,0,0
contradiction,21.0064783394337,5.36032286286354,0.25135500729084,0,3.97227862477303,0.569156646728516,0,0,6.80092531442642,2.97822779417038,0.20734616741538,0,2.68312978744507,1.562180519104,0.050207160413265,0,14,5,4,0,4,1,0,0,7,3,3,0,3,2,1,0,1,0,2,0
neutral,13.2326467037201,6.4233370423317,0,0,0,0,0,0,1.48377883434296,1.66532453894615,0,0,0.943289697170258,0.948842450976372,0,0,10,6,0,0,0,0,0,0,3,3,0,0,2,2,0,0,0,0,0,0
entailment,21.4241175055504,0,9.02210015058517,0,0,0,0,0,3.41815453767776,0,3.44858741760254,0,0,0,0,0,11,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0
entailment,26.9708592891693,5.09521472454071,11.1678867712617,8.14893674850464,28.3157830834389,11.1306027173996,3.82515414059162,9.57246041297913,0,0,3.02572529017925,0,0,0,0,0,13,4,17,4,16,5,7,4,0,0,4,0,0,0,0,0,4,0,1,1
neutral,9.0954282283783,0,1.72969532012939,0.808385699987412,0,0,0,0,3.66182160377502,0,1.70595586299896,1.38576078414917,0,0,0,0,7,0,2,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1
entailment,14.1132946312428,0,5.03258121013641,0,2.40585362911224,0,1.0477486550808,0,0,0,0,0,0,0,0,0,9,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
contradiction,9.09521293640137,0,1.79726028442383,0,0,0,0,0,2.60995066165924,0,3.40942239761353,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0
entailment,16.1716194748878,0,0.757248103618622,0,3.06745636463165,0,0.97026139497757,0,3.0294252038002,0,4.11521875858307,0,0,0,0,0,7,0,1,0,2,0,1,0,3,0,2,0,0,0,0,0,2,0,0,0
entailment,2.5692021548748,0,0,0,0,0,0,0,0,0,0,0,1.02624022960663,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
neutral,22.908154129982,0,1.63871296495199,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
neutral,16.0595824718475,5.88286578655243,0.242161434143782,0,3.16126000881195,0.734306871891022,0.070554047822952,0,3.3602466583252,0.614980101585388,0.129135683178902,0,0,0,0,0,8,5,3,0,2,1,1,0,2,1,1,0,0,0,0,0,1,0,0,0
neutral,25.4796806573868,7.434171885252,9.02467499673367,0,14.0950841903687,7.69784140586853,6.68081576377153,0,7.69926452636719,0,11.5337424129248,0,0,0,0,0,15,7,11,0,12,5,10,0,8,0,9,0,0,0,0,0,3,0,0,2
neutral,14.7448219060898,0,0.0520059466362,0,2.13538426160812,0,0,0,1.29077941179276,0,0.087536603212357,0,0,0,0,0,9,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0
neutral,8.8012472987175,0,0.082205064594746,0,1.95784252882004,0,0.03600487485528,0,0.590999484062195,0,0.15246669948101,0,0,0,0,0,6,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
neutral,43.2316172122955,0,2.03638396039605,0,5.45806515216827,0,0,0,5.96019703149796,0,5.64573760330677,0,0,0,0,0,22,0,5,0,4,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0
entailment,6.03200006484985,0,0.224670201539993,4.2962806224823,1.13339114189148,0,0.043559204787016,0.929308533668518,0,0,0.117971397936344,0,0,0,0,0,2,0,2,2,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
entailment,52.8325993716717,19.6950680613518,17.3452619314194,0,35.6973466873169,20.0941359400749,7.43996071815491,0,15.7657819986343,5.91559866070747,6.4561362862587,0,13.1424461603165,4.15188604593277,7.27063846588135,0,36,13,17,0,24,9,4,0,12,4,5,0,6,2,2,0,5,1,1,2
contradiction,14.4367946386337,0,7.92344846576452,5.92971014976501,0,0,0,0,2.55528378486633,0,4.43569850921631,1.360715508461,0,0,0,0,5,0,6,3,0,0,0,0,1,0,2,1,0,0,0,0,3,0,1,1
entailment,10.3818651437759,0,1.27892783284187,0,0,0,0,0,4.53128689527512,0,5.86507672071457,0,0,0,1.19916534423828,0,3,0,4,0,0,0,0,0,4,0,5,0,0,0,1,0,2,0,0,0
entailment,16.0354066491127,0,4.62974344193935,0,0,0,0,0,1.23376297950745,0,1.87883269786835,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1
neutral,15.3108878135681,3.02588847279549,0,0,6.00918060541153,2.0083304643631,0,0,0,1.20677280426025,0,0,0,0,0,0,9,4,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0
contradiction,11.5278469026089,0,2.75512570887804,0,0.799657702445984,0,0.325499027967453,0,2.3029797077179,0,0.919661521911621,0,0,0,0,0,8,0,9,0,1,0,1,0,3,0,4,0,0,0,0,0,1,0,1,0
entailment,11.2691130638123,0,2.57287037372589,0,3.26168489456177,0,1.4080616235733,0,2.43821966648102,0,8.11466526985168,0,0,0,0,0,4,0,2,0,1,0,1,0,2,0,3,0,0,0,0,0,2,0,1,0
contradiction,13.98703956604,0,6.64171221479774,0,4.64670583605766,0,0.768334090709686,0,3.64289528131485,0,2.45310444012284,0,0,0,0,0,10,0,12,0,5,0,2,0,4,0,4,0,0,0,0,0,0,0,0,3
contradiction,40.2403612732887,4.22901546955109,19.0759150981903,0,2.6118016242981,0,0,0,20.9759567975998,1.89871776103973,16.9158055782318,0,6.73975300788879,1.07667064666748,3.38105928897858,0,18,4,11,0,2,0,0,0,11,3,6,0,4,1,2,0,1,0,1,2
contradiction,17.9610781669617,1.76233261823654,1.35849231481552,0,10.6370508670807,2.41984796524048,0,0,3.44831773638725,0.733420550823212,1.462522149086,0,0,0,0,0,9,2,2,0,3,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0
neutral,10.7699807882309,2.60347235202789,0.255362682044506,3.68404814600945,7.32502865791321,7.6177915930748,0.043559204787016,1.51515048742294,3.66240501403809,0,0.281004838645458,3.67160627245903,0,0,0,0,8,2,5,9,6,3,1,4,4,0,4,7,0,0,0,0,1,0,0,0
entailment,7.48934817314148,5.69204792380333,0.98991235345602,0,0.369058907032013,5.27744626998901,0.481954693794251,0,2.09005236625671,1.21480959653854,2.69950744509697,0,0,0,0,0,5,5,4,0,1,1,1,0,2,2,4,0,0,0,0,0,2,0,0,2
entailment,4.56919860839844,0,0.046891581267119,0.941764533519745,1.65456891059876,0,1.92463499307632,3.00019097328186,0,0,4.59781782329083,0.978277087211609,0,0,0,0,1,0,1,1,1,0,2,1,0,0,3,1,0,0,0,0,1,0,0,0
entailment,9.17774152755737,0,1.8558020927012,0,0,0,0,0,3.07055950164795,0,6.49687640368938,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0
entailment,5.24628162384033,0,0.734551381319761,2.39083480834961,1.88583123683929,0,1.02752855792642,3.00019097328186,0,0,4.0098215341568,1.02479219436646,0,0,0,0,2,0,2,1,1,0,2,1,0,0,2,1,0,0,0,0,1,0,0,0
contradiction,15.6242997646332,0,1.17781763710082,0,0,0,0,0,1.5871833562851,0,1.49611537531018,0,0,0,0,0,7,0,5,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
neutral,14.1829897761345,4.20811679959297,11.9114430472255,0,0.709180653095245,1.62930580973625,0.7929927110672,0,7.7486823797226,1.18459820747375,9.28697577118874,0,2.55816614627838,0.504052877426147,2.79641010612249,0,9,5,17,0,1,2,1,0,5,1,8,0,2,1,3,0,1,0,1,0
entailment,9.28721830248833,0,9.35238517820835,0,2.38230794668198,0,0,0,1.45079278945923,0,4.18319422006607,0,0,0,0,0,9,0,10,0,2,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0
entailment,6.06170076131821,0,0.049282770603895,8.36544042825699,0,0,0,0,0,0,0.074053980410099,2.62310671806335,0,0,0,0,3,0,1,7,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
entailment,9.71512818336487,0,3.81740212440491,0,0,0,0,0,1.62746071815491,0,2.7111189365387,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
contradiction,11.7987064123154,1.6581038236618,3.4314047768712,0,7.63069355487824,0.555005550384522,0,0,5.0722541809082,0,4.91740285977721,0,0,0,0,0,6,1,3,0,4,1,0,0,3,0,6,0,0,0,0,0,0,1,0,0
entailment,72.2581894993782,7.04256272315979,10.9171904325485,0,3.42141532897949,4.89347982406616,0,0,9.23963308334351,0,2.18735933303833,0,0,0,0,0,31,5,6,0,2,1,0,0,5,0,1,0,0,0,0,0,5,0,0,0
entailment,15.2185034751892,0,0.192493699491024,0,0,0,0,0,0,0,0.048234075307846,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
entailment,20.9177691936493,0,3.79640030860901,0,0,0,0,0,3.20204722881317,0,3.30920684337616,0,0,0,0,0,6,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0
contradiction,41.4658036828041,0.821005485951901,3.98653900623322,0,7.23056244850159,0.234088808298111,0,0,3.95824354887009,0.236147493124008,3.68911123275757,0,0,0,0,0,18,5,4,0,4,2,0,0,3,2,2,0,0,0,0,0,1,0,0,0
contradiction,9.57575470209122,2.59736323356628,0.149931654334068,0,2.81739020347595,4.14876413345337,0,0,1.40168821811676,0,0.196327894926071,0,0,0,0,0,4,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,2,0,1,0
contradiction,24.2518800497055,0,3.47306281328201,0,2.39427709579468,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
neutral,49.6107038855553,5.9244499206543,5.97776736319065,0,11.9040196239948,3.16586983203888,2.02235648408532,0,3.35244452953339,0,1.10980018973351,0,0,0,0,0,26,6,8,0,9,3,4,0,2,0,2,0,0,0,0,0,2,0,1,0
entailment,14.7468900680542,0,0.049282770603895,0,0,0,0,0,0,0,0.131027068942785,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
entailment,37.4555076956749,1.72278317809105,0.239516355097294,0,0,0,0,0,11.9956091046333,0.725521266460419,0.284117169678211,0,2.37887836992741,0,0.111560486257076,0,20,4,2,0,0,0,0,0,9,2,2,0,3,0,1,0,3,0,0,0
contradiction,25.0105666518211,4.08834889531136,5.25910647213459,0,0.754145741462708,0,0,0,3.10005682706833,0,1.84619851410389,0,0,0,0,0,19,4,9,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
entailment,22.5316731929779,4.19477069377899,1.39651775360107,1.89634971320629,0,5.42436027526856,1.28368252515793,0,3.10492354631424,1.00427973270416,3.38022363185883,0.137518554925919,0,0,0,0,16,3,3,6,0,2,2,0,4,1,2,1,0,0,0,0,1,0,0,2
entailment,11.2990958690643,0,0.397503614425659,0,5.71695482730866,0,0.51286768913269,0,0,0,1.43757748603821,0,0,0,0,0,4,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1
contradiction,6.67214801907539,0,5.13886272907257,0,0,0,0,0,3.33494538068771,0,4.19349634647369,0,0,0,0,0,5,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0
contradiction,7.11044979095459,0,0.658880703151226,0,0,0,0,0,2.45045208930969,0,1.59576902911067,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
contradiction,13.3190343379974,0,0.192193537950516,3.82531100511551,2.59827625751495,0,0.063817381858826,1.18073952198029,5.30027210712433,0,0.224597278982401,1.92242801189423,0,0,0,0,7,0,3,5,2,0,1,1,5,0,2,2,0,0,0,0,1,0,0,0
