CLASS,Who,Where,When,What,Why,How,Additional information,Who,Where,When,What,Why,How,Additional information
entailment,1,0.6982456140350877,1,0.5522875816993463,1,1,1,0.6967830657958984,0.076059915,1,0.5052615404129028,1,1,1
entailment,1,1,1,1,1,1,0.7818181818181819,0.7625818252563477,1,1,0.9441606998443604,1,1,0.6994884014129639
contradiction,1,0.4230769230769231,1,0.8333333333333334,1,1,1,0.8813570737838745,0.2654082179069519,1,0.3608033359050751,1,1,1
contradiction,0,1,1,1,1,1,1,0.15336623787879944,1,1,0.39118361473083496,1,1,1
neutral,1,1,1,0.5897435897435898,1,1,1,0.9199031591415405,0.7159836292266846,1,0.22467884421348572,1,1,1
neutral,0,1,1,0.7142857142857143,1,1,1,0.2905583381652832,0.9704940319061279,1,0.019695959985256195,1,1,1
neutral,1,0.8,1,1,1,-1,1,0.627316952,0.9315769672393799,1,0.6908599138259888,1,0.35085415840148926,1
entailment,1,1,1,0.5882352941176471,1,0.5625,1,1,1.0000001192092896,1,0.2799240052700043,1,0.13744929432868958,1
neutral,1,1,1,0.49722222222222223,1,1,1,0.5750253200531006,1,1,0.6191250681877136,1,1,1
entailment,1,1,1,1,1,-1,1,0.5931077003479004,1,1,0.4842981994152069,1,0.17777787148952484,1
neutral,1,1,1,0.6636108989050166,1,1,1,1.000000238418579,1,1,-0.011613283,1,1,1
contradiction,0,1,1,0.6967418546365914,1,0.65,1,0.28741246461868286,1,1,0.517933726,1,0.097933948,1
entailment,1,1,1,1,1,1,1,0.6656250357627869,1,1,0.9023887515068054,1,1,1
contradiction,1,1,1,0.625,1,-1,1,0.23858922719955444,1,1,0.14128535985946655,1,0.18069490790367126,1
neutral,1,0.6666666666666666,-1,0.6904761904761905,1,-1,0.6818181818181819,0.44108715653419495,0.2809441387653351,0.30366384983062744,0.14428159594535828,1,0.19642280042171478,0.49483516812324524
neutral,1,0.4666666666666666,1,0.5833333333333333,1,1,1,0.9199031591415405,0.7905315160751343,1,0.1523878127336502,1,1,1
entailment,1,1,1,1,1,1,0.6666666666666666,1.0000001192092896,1,1,0.6327549815177917,1,1,0.1827736645936966
contradiction,1,0.46296296296296297,1,0.5833333333333333,1,1,1,1,0.560035765,1,0.2875698208808899,1,1,1
contradiction,1,1,1,0.9523809523809524,1,1,1,0.6210851669311523,1,1,0.789108396,1,1,1
entailment,1,1,1,1,-1,1,1,0.6907806396484375,1,1,0.74919486,0.2708170413970947,1,1
entailment,1,0.5286195286195287,1,1,1,1,1,1.0000001192092896,0.14464353024959564,1,1,1,1,1
entailment,1,1,1,1,1,1,1,0.8387744426727295,1,1,0.5999987721443176,1,1,1
neutral,1,1,1,-1,1,1,1,0.8961348533630371,1,1,0.2367914617061615,1,1,1
contradiction,1,1,1,0.9,1,1,1,1,1,1,0.43763595819473267,1,1,1
entailment,1,1,1,1,1,1,1,0.5106773972511292,1,1,0.7982722520828247,1,1,1
neutral,1,1,1,0.4666666666666667,1,1,1,0.6142842769622803,1,1,0.23529082536697388,1,1,1
entailment,1,1,1,0.7569444444444444,1,1,1,0.7948483824729919,1,1,0.379285604,1,1,1
entailment,0,1,1,0.7058823529411765,1,-1,1,1,0.9999999403953552,1,0.032397136092185974,1,0.24911600351333618,1
entailment,1,0.5135864135864135,1,1,1,1,1,0.4990302324295044,0.2178707718849182,1,1,1,1,1
neutral,1,1,1,0.6082621082621082,1,1,1,0.7120862007141113,1,1,0.2160525619983673,1,1,1
neutral,1,1,1,0.2902145473574045,1,1,1,0.891482949,1,1,0.22633835673332214,1,1,1
contradiction,1,1,1,1,1,1,1,0.4568633437156677,1,1,0.6964704990386963,1,1,1
contradiction,1,0.575657895,1,0.8529411764705883,1,1,1,0.18403282761573792,0.3124043941497803,1,0.5343248844146729,1,1,1
entailment,0,1,1,0.2,1,1,-1,1,1,1,0.9110335111618042,1,1,0.2771095335483551
contradiction,1,-1,1,0.41666666666666663,1,1,1,0.7958192229270935,0.2222212255001068,1,0.089148872,1,1,1
neutral,1,1,1,0.4423529411764705,1,1,1,0.5940365195274353,1,1,0.29608896374702454,1,1,1
entailment,1,0.7142857142857143,1,1,1,1,1,0.790394664,0.5905424356460571,1,1,1,1,1
neutral,1,-1,1,0.37777777777777777,1,-1,1,0.6041660308837891,0.2507953643798828,1,0.21837930381298065,1,0.5797881484031677,1
neutral,1,1,1,0.5497076023391813,1,1,1,0.5227905511856079,1,1,0.35046491026878357,1,1,1
entailment,1,1,1,0.6666666666666666,1,1,1,0.8804723024368286,1,1,0.6543205380439758,1,1,1
neutral,1,1,1,-1,1,1,1,0.8987023234367371,1,1,0.22949224710464478,1,1,1
neutral,1,0.5416666666666666,1,0.26851851851851855,1,1,1,0.9815933108329773,0.7130820751190186,1,0.085707836,1,1,1
contradiction,1,1,1,0.22827903091060983,1,1,1,0.8296040892601013,1,1,0.090761021,1,1,1
neutral,1,0.6666666666666666,1,0.6388888888888888,1,1,1,0.2130448818206787,0.11208832263946533,1,0.033658151,1,1,1
entailment,1,1,1,0.7087912087912088,1,1,1,0.42650559544563293,1,1,0.1990121304988861,1,1,1
neutral,1,1,1,0.7205882352941176,-1,-1,1,1.0000001192092896,1,1,0.4582550823688507,0.26262667775154114,0.21196886897087097,1
neutral,1,1,1,0.8333333333333333,0.5714285714285715,1,1,1.0000001192092896,1,1,0.6663662195205688,-0.004531978,1,1
entailment,0,1,1,1,1,1,1,1,1,1,0.8240084648132324,1,0.9207088947296143,1
contradiction,1,0.2222222222222222,1,1,1,1,0.5,0.40789681673049927,0.10487721115350723,1,1,1,1,0.002166118
neutral,1,0.4583333333333333,-1,0.75,1,1,-1,0.8029696941375732,0.094227634,0.346795917,0.8058227300643921,1,1,0.2639297544956207
entailment,1,1,1,0.6666666666666666,1,1,1,1.000000238418579,1,1,0.8667292594909668,1,1,1
entailment,1,-1,1,1,1,1,1,0.533876896,0.30135560035705566,1,0.9789584875106812,1,1,1
neutral,1,0.625,1,0.5882352941176471,1,1,1,0.4839390218257904,0.6977202892303467,1,0.4547792077064514,1,1,1
entailment,1,1,1,0.9,1,1,1,0.5352815985679626,1,1,0.8126060366630554,1,1,1
contradiction,1,-1,1,0.7307692307692308,1,1,1,1.0000001192092896,0.21314790844917297,1,0.642328143,1,1,1
entailment,1,1,1,0.6666666666666666,1,1,1,0.5406656265258789,1,1,1,1,1,1
entailment,0,1,1,1,1,1,1,1,1,1,1,1,1,1
neutral,1,0.75,1,-1,1,1,1,0.6005101203918457,0.9117668867111206,1,0.11210742592811584,1,1,1
neutral,1,0.6851851851851851,1,1,1,1,1,1,0.5853879451751709,1,1,1,1,1
neutral,0,1,1,1,1,1,1,1,1,1,1,1,1,1
neutral,1,0.625,1,0.43567251461988304,1,1,1,1.0000001192092896,0.21580585837364197,1,0.36441969871520996,1,1,1
neutral,1,1,1,0.3833333333333333,1,1,1,0.8987023234367371,1,1,0.13587066531181335,1,1,1
neutral,1,0.8333333333333333,1,0.8461538461538461,1,1,1,0.5971160531044006,0.1800328493118286,1,0.46027421951293945,1,1,1
entailment,0,0.5,1,0.7058823529411765,1,1,1,1,0.6195916533470154,1,0.33978015184402466,1,1,1
entailment,1,1,1,1,1,0.39285714285714285,1,0.6782851219177246,1,1,0.4707431495189667,1,0.050530978,0.5947668552398682
contradiction,1,1,1,0,1,1,1,0.932740331,1,1,0.10630734264850616,1,1,1
entailment,1,1,1,1,1,1,1,0.7948483824729919,1,1,0.9245389103889465,1,1,1
entailment,1,1,1,-1,1,1,1,0.4404905140399933,0.6710105538368225,1,0.33049440383911133,1,1,1
neutral,1,1,1,0.6666666666666666,1,1,1,0.4776146709918976,1,1,0.33089369535446167,1,1,1
contradiction,1,1,1,0.6897435897435896,1,1,1,0.2648489773273468,1,1,0.11883864551782608,1,1,1
entailment,1,1,1,1,1,1,1,0.8742685914039612,0.7988799214363098,1,0.5640783309936523,1,1,1
contradiction,1,1,1,0.5917874396135265,1,1,1,0.093085483,1,1,0.040125779807567596,1,1,1
contradiction,1,1,1,0.6666666666666666,1,1,-1,0.4813447594642639,1,1,0.30542609095573425,1,1,0.17729738354682922
contradiction,1,0.3198653198653199,1,1,1,1,0.5177616501145913,0.5549951791763306,0.24610576033592224,1,1,1,1,0.10341238230466843
neutral,1,1,1,0.6745098039215687,1,1,1,0.48806869983673096,1,1,0.21675527095794678,1,1,1
entailment,1,1,1,0.3261904761904762,1,1,1,1.0000001192092896,1,1,0.19076961278915405,1,1,0.7638956308364868
entailment,1,0.6666666666666666,1,1,1,1,1,0.767246425,0.47614341974258423,1,1.0000001192092896,1,1,1
entailment,1,1,1,1,1,1,1,0.5568926930427551,1.0000001192092896,1,0.9999999403953552,1,1,1
entailment,1,0.5,1,1,1,1,1,0.7456226944923401,0.4985198676586151,1,0.8870168924331665,1,1,1
contradiction,1,1,1,0.7916666666666666,1,1,1,0.9433457851409912,1,1,0.4669736623764038,1,1,1
neutral,1,1,0,0.5770676691729323,0,1,0.5223684210526316,0.12068461626768112,1,0.4154811501502991,0.3911822736263275,0.5196377038955688,1,0.12874430418014526
entailment,1,1,1,0.25,1,1,1,1.0000001192092896,1,1,0.4754694700241089,1,1,1
entailment,1,0.5714285714285714,1,1,1,1,1,0.6212831735610962,0.44577038288116455,1,1,1,1,1
entailment,1,0.5,1,0.5882352941176471,1,1,1,1.0000001192092896,0.29460975527763367,1,0.6106952428817749,1,1,1
contradiction,1,0.3333333333333333,1,0.506822612,1,1,1,0.2779311537742615,0.281877339,1,0.23788243532180786,1,1,1
entailment,1,1,1,0.24444444444444446,1,-1,1,1.000000238418579,1,1,0.1202089935541153,1,0.13880492746829987,1
entailment,1,0.6666666666666666,1,0.5,1,1,1,1,1.0000001192092896,1,0.19690990447998047,1,1,1
entailment,1,1,1,0.5846153846153846,1,1,1,1.0000001192092896,1,1,0.22065046429634094,1,1,1
contradiction,0,1,1,1,1,1,1,1,1,1,1,1,1,1
contradiction,1,1,1,0.9375,1,1,1,0.7948483824729919,1,1,0.685753345,1,1,1
contradiction,1,0.5714285714285714,1,0.4632034632034632,1,1,1,0.7138519883155823,0.36119621992111206,1,0.20769143104553223,1,1,1
neutral,1,1,1,0.45,0.3571428571428571,0.7602339181286549,1,0.8253978490829468,1,1,0.17737546563148499,0.6708078384399414,0.16476239264011383,1
entailment,1,1,1,0.35714285714285715,1,1,1,0.7567174434661865,1,1,0.099991269,1,1,1
entailment,1,0.5151515151515151,1,1,1,1,-1,0.47419649362564087,0.30552706122398376,1,1,1,1,0.11269648373126984
contradiction,1,0.5625,1,0.7333333333333334,1,1,1,0.4578399658203125,0.19188621640205383,1,0.25995439291000366,1,1,1
entailment,1,0.75,1,0.7962962962962963,1,1,1,0.7066428661346436,0.21028566360473633,1,0.5591461062431335,1,1,1
entailment,1,1,1,1,1,1,1,0.8949556350708008,1,1,0.8302839994430542,1,1,1
contradiction,1,1,1,0.6386554621848739,1,1,1,0.072304986,1,1,0.086890094,1,1,1
contradiction,1,1,1,0.7083333333333333,1,1,1,0.6556743383407593,1,1,0.357685387,1,1,1
contradiction,1,1,1,0.5740740740740741,1,1,1,0.6153209209442139,1,1,0.030109556391835213,1,1,1
